worker_id,zone_risk_tier,claim_frequency_30d,claim_amount_zscore,location_jump_count,gps_spoof_probability,policy_tenure_weeks,earnings_deviation,claim_timing_anomaly,peer_claim_correlation,device_change_count,login_anomaly_score,route_deviation_score,delivery_speed_anomaly,duplicate_claim_score,network_fraud_ring_score,barometric_consistency,zone_transition_anomaly,claim_photo_similarity_score,platform_switch_frequency,behavioral_baseline_deviation,label_fraud,fraud_type
WK0000000,4,1,-0.305,1,0.033,91,0.207,0.172,0.107,1,0.145,0.045,0.178,0.028,0.127,0.98,0.115,0.241,0.142,0.096,0,none
WK0000001,2,0,-0.515,0,0.253,189,0.093,0.175,0.344,0,0.188,0.019,0.134,0.059,0.007,0.97,0.109,0.218,0.1,0.084,0,none
WK0000002,2,2,-0.867,2,0.179,42,0.375,0.245,0.299,1,0.174,0.099,0.052,0.134,0.12,0.989,0.138,0.129,0.134,0.148,0,none
WK0000003,3,0,1.364,2,0.144,81,0.13,0.12,0.378,1,0.209,0.049,0.22,0.108,0.095,0.964,0.091,0.068,0.139,0.127,0,none
WK0000004,5,2,-0.264,2,0.112,85,-0.038,0.125,0.08,0,0.156,0.079,0.004,0.034,0.154,0.85,0.059,0.258,0.063,0.212,0,none
WK0000005,2,0,-1.658,1,0.012,142,0.332,0.001,0.1,1,0.225,0.14,0.048,0.132,0.045,0.941,0.1,0.141,0.051,0.169,0,none
WK0000006,1,3,-0.168,1,0.118,168,0.372,0.097,0.145,0,0.176,0.032,0.061,0.027,0.114,0.906,0.016,0.113,0.168,0.097,0,none
WK0000007,3,0,-0.808,1,0.032,50,0.036,0.085,0.286,0,0.164,0.073,0.093,0.047,0.11,0.964,0.129,0.031,0.028,0.151,0,none
WK0000008,4,0,1.322,1,0.174,134,0.217,0.099,0.297,1,0.169,0.129,0.001,0.128,0.082,0.979,0.069,0.012,0.158,0.008,0,none
WK0000009,3,0,-0.534,1,0.049,132,0.164,0.083,0.037,0,0.235,0.16,0.228,0.058,0.083,0.848,0.016,0.225,0.131,0.234,0,none
WK0000010,2,0,0.284,0,0.021,189,0.032,0.126,0.357,1,0.051,0.186,0.133,0.046,0.049,0.962,0.113,0.154,0.116,0.04,0,none
WK0000011,4,1,1.761,0,0.082,95,-0.322,0.001,0.022,1,0.106,0.169,0.225,0.108,0.073,0.986,0.062,0.274,0.061,0.014,0,none
WK0000012,4,1,-0.094,1,0.153,79,-0.061,0.189,0.149,1,0.228,0.047,0.118,0.055,0.033,0.827,0.001,0.248,0.077,0.169,0,none
WK0000013,5,1,0.617,2,0.079,129,0.246,0.148,0.093,1,0.193,0.023,0.043,0.091,0.014,0.987,0.027,0.106,0.052,0.099,0,none
WK0000014,4,1,1.249,2,0.045,92,0.022,0.018,0.08,1,0.09,0.123,0.058,0.032,0.171,0.94,0.039,0.112,0.177,0.045,0,none
WK0000015,3,1,1.286,1,0.01,14,0.019,0.06,0.297,1,0.188,0.105,0.229,0.065,0.152,0.86,0.107,0.193,0.103,0.082,0,none
WK0000016,1,0,-1.119,2,0.028,156,-0.061,0.279,0.083,0,0.154,0.153,0.058,0.067,0.011,0.887,0.097,0.044,0.041,0.092,0,none
WK0000017,5,1,0.721,0,0.186,195,0.227,0.246,0.313,1,0.067,0.262,0.176,0.095,0.009,0.816,0.106,0.197,0.088,0.093,0,none
WK0000018,3,2,0.918,1,0.115,99,-0.028,0.233,0.321,1,0.138,0.072,0.115,0.073,0.11,0.983,0.148,0.199,0.153,0.003,0,none
