worker_id,zone_risk_tier,current_month,lstm_forecast_score,aqi_7day_avg,platform_tenure_weeks,loyalty_weeks_paid,historical_disruption_rate,policy_tier,peer_claim_rate_zone,actual_premium
WK246316,3,7,1.0,110.4,96,79,0.528,Basic,0.228,125.09
WK133326,5,10,1.0,101.03,134,124,0.796,Basic,0.337,134.37
WK731262,2,8,0.86,99.64,25,11,0.467,Basic,0.172,150.31
WK835392,4,2,1.0,133.88,193,111,0.631,Standard,0.23,150.54
WK391704,1,12,0.309,86.1,135,100,0.446,Premium,0.09,107.68
WK456778,5,12,1.0,118.62,175,87,0.901,Standard,0.329,203.96
WK452944,3,7,1.0,100.55,194,135,0.537,Premium,0.236,323.45
WK988662,5,9,1.0,111.75,193,128,0.899,Basic,0.347,177.16
WK865179,2,9,0.606,95.59,18,8,0.485,Basic,0.124,123.18
WK496922,4,12,1.0,104.2,139,117,0.584,Standard,0.291,125.28
WK748564,2,8,0.902,98.6,75,36,0.518,Standard,0.121,267.48
WK148050,4,2,1.0,118.97,134,96,0.684,Premium,0.289,273.71
WK996865,2,8,0.828,93.1,55,43,0.496,Standard,0.196,221.79
WK575435,1,2,0.516,80.07,74,35,0.425,Standard,0.147,138.18
WK802729,1,9,0.419,84.12,132,89,0.415,Basic,0.052,67.52
WK279451,1,1,0.379,86.8,54,32,0.411,Basic,0.132,51.03
WK497887,4,3,1.0,126.81,65,59,0.653,Premium,0.293,270.93
WK983794,3,12,1.0,100.72,116,79,0.569,Premium,0.183,160.34
WK520651,4,7,1.0,112.31,56,50,0.632,Standard,0.259,296.11
WK694731,4,3,1.0,103.2,119,78,0.568,Premium,0.271,253.51
WK774079,4,10,1.0,123.37,190,153,0.602,Standard,0.204,197.42
WK881177,3,10,0.91,104.92,107,69,0.549,Basic,0.153,84.37
WK549245,3,4,1.0,102.26,147,109,0.568,Premium,0.164,215.21
WK245051,4,11,1.0,120.49,12,0,0.664,Standard,0.26,345.37
WK214975,2,12,0.972,85.71,113,90,0.54,Standard,0.163,106.61
WK542666,2,12,0.687,93.91,151,125,0.483,Basic,0.188,54.99
WK542666,5,7,1.0,98.39,151,125,0.709,Basic,0.261,173.82
WK590785,5,9,1.0,125.39,25,19,0.792,Basic,0.251,260.89
WK220116,5,9,1.0,90.0,64,47,0.729,Standard,0.277,321.8
WK456699,4,11,1.0,115.18,9,0,0.658,Basic,0.27,155.26
WK103402,3,1,1.0,101.47,131,86,0.515,Basic,0.22,71.52
WK211579,5,5,1.0,97.91,130,113,0.77,Standard,0.311,266.17
WK899550,5,6,1.0,115.25,156,83,0.815,Standard,0.313,260.19
WK612340,1,5,0.496,62.16,147,132,0.49,Basic,0.074,51.74
WK972064,4,11,1.0,111.27,54,38,0.597,Standard,0.28,191.35
WK694916,1,2,0.553,60.19,191,164,0.333,Basic,0.059,51.68
WK897549,1,12,0.503,73.63,102,82,0.461,Standard,0.136,78.07
WK598369,3,4,0.907,110.56,186,108,0.557,Basic,0.173,71.73
WK736059,5,4,1.0,81.58,125,74,0.661,Basic,0.302,131.16
WK518373,4,11,1.0,118.73,194,160,0.57,Standard,0.292,140.7
WK335612,5,3,1.0,142.12,32,16,0.725,Basic,0.348,135.33
WK341292,2,1,0.697,89.45,179,115,0.476,Premium,0.19,171.95
WK761759,5,11,1.0,101.99,141,100,0.764,Standard,0.32,210.52
