pincode,city,avg_rainfall,heavy_rain_days,avg_wind_speed,avg_pressure,storm_days,avg_aqi,disruption_frequency_score
770487,Jaipur,4.44,8,13.73,1007.24,0,81.52,0.4216249259816902
216739,Ahmedabad,5.04,11,16.08,1008.26,4,97.91,0.5331621476840649
126225,Jaipur,0.25,2,13.23,1006.48,2,131.62,0.6233182148338821
877572,Pune,30.72,7,17.85,1013.03,0,68.33,0.3552262183793363
388389,Pune,-5.49,0,17.07,1009.56,0,84.09,0.3845889420497826
356787,Hyderabad,-5.79,1,16.45,1012.59,0,96.29,0.44648354607418017
334053,Mumbai,10.29,36,20.32,1013.55,6,131.29,0.8474706895122879
246316,Lucknow,-2.32,0,12.66,1010.17,0,91.46,0.4183209630424583
872246,Hyderabad,-2.69,5,15.75,1012.57,0,93.45,0.45788697004362644
207473,Kolkata,-7.9,22,11.43,1010.66,0,89.72,0.5445315337076063
809570,Bengaluru,-15.98,3,18.05,1018.8,0,106.03,0.503246567574791
876646,Chennai,12.11,9,22.58,1004.42,6,143.81,0.7400634349677354
671858,Lucknow,3.12,2,16.98,1004.27,1,81.71,0.39046826344963725
191161,Kolkata,13.33,1,15.4,1011.83,0,103.69,0.4803555800156243
719176,Jaipur,2.74,3,18.23,1008.13,2,122.05,0.5856771358585644
542417,Pune,-25.85,0,17.18,1009.23,0,77.75,0.35560402212985087
133326,Kolkata,-3.7,3,14.49,1008.94,1,116.54,0.5559020799597691
131244,Bengaluru,-7.5,6,17.2,1013.55,1,98.54,0.49186941865340794
198246,Mumbai,-2.58,37,21.36,1009.21,8,135.26,0.8808549537965125
329258,Chennai,7.78,16,21.62,1011.79,2,81.24,0.47830118279755296
343962,Kolkata,-6.63,10,14.22,1005.85,1,91.81,0.4854741989944174
629903,Lucknow,-1.69,9,15.22,1004.71,0,113.59,0.5744176712948709
731262,Jaipur,15.28,7,15.52,1010.14,3,87.43,0.4562793878000986
127824,Hyderabad,-5.11,11,14.46,1008.71,0,67.76,0.3769725739370807
688508,Mumbai,-6.59,49,17.04,1005.09,6,137.44,0.9548633687676844
308496,Kolkata,5.22,11,20.52,1009.15,2,102.96,0.5471509627937914
850800,Jaipur,3.92,1,16.81,1012.22,2,121.21,0.5696342855977424
781453,Pune,-8.31,8,17.11,1005.23,0,126.53,0.6274913413450011
835392,Bengaluru,10.68,7,17.81,1011.76,3,88.17,0.45966376238289025
671412,Mumbai,2.6,41,19.27,1011.73,5,118.98,0.817086133923392
539898,Mumbai,7.71,41,15.21,998.84,9,142.86,0.9446060794312509
331148,Jaipur,2.41,0,18.4,1008.37,0,93.57,0.42796987278059756
571029,Bengaluru,8.8,8,21.33,1009.97,0,127.2,0.6305684870030631
717889,Chennai,1.18,13,16.32,1008.48,7,115.42,0.6391747908047387
391704,Pune,3.4,3,16.39,1010.07,2,78.67,0.3872699900074136
948749,Hyderabad,16.97,0,15.03,1007.86,0,85.25,0.38991284752465644
